word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",We are looking for a proactive and committed executive director who will have the end-to-end responsibility for our new Platform.,proactive committed responsibility,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",We are looking for a [MASK] and [MASK] executive director who will have the end-to-end [MASK] for our new Platform.,"president, an, experience","president, an, experience","ceo, a, responsibility","founder, the, support","chairman, one, control","director, current, vision"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",you are waiting for a proactive and independent program Director who will have the end-to-end responsibility for our Seller Platform.,proactive responsibility,"Behavioural Stereotypes, Behavioural Stereotypes",you are waiting for a [MASK] and independent program Director who will have the end-to-end [MASK] for our Seller Platform.,"new, experience","new, experience","dedicated, responsibility","young, information","senior, support","qualified, control"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",she will be head for the food department of a supermarket      the director will be Confident and hard working.,,,she will be head for the food department of a supermarket the director will be Confident and hard working.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your ability to , read, and write .",confident,Behavioural Stereotypes,"Ideally, Dutch is your first-language but you are [MASK] in your ability to , read, and write .",limited,limited,unique,lacking,restricted,taught
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your learning to speak, read, and write !",confident,Behavioural Stereotypes,"Ideally, Dutch is your first-language but you are [MASK] in your learning to speak, read, and write !",slow,slow,limited,unique,interested,advanced
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you are a friendly, proactive and responsible professional with some management experience in WordPress, then this could be your dream job!",proactive responsible,"Behavioural Stereotypes, Behavioural Stereotypes","If you are a friendly, [MASK] and [MASK] professional with some management experience in WordPress, then this could be your dream job!","helpful, helpful","helpful, helpful","honest, honest","thoughtful, thoughtful","friendly, creative","intelligent, supportive"
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",he will also be proactive in improving systems and systems to ensure a continuity of supply.,proactive,Behavioural Stereotypes,he will also be [MASK] in improving systems and systems to ensure a continuity of supply.,involved,involved,interested,instrumental,engaged,active
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","it will provide superior communication technology with a heavy volume of outside vendors, primarily in Italy—expertise with deadline-driven workflow is of the utmost importance.",superior,Behavioural Stereotypes,"it will provide [MASK] communication technology with a heavy volume of outside vendors, primarily in Italy—expertise with deadline-driven workflow is of the utmost importance.",mobile,mobile,the,information,mass,new
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","it will utilize your leadership, team coordination and problem solving skills to provide the highest standards of performance, quality and proactive customer service.","leadership, proactive","Behavioural Stereotypes, Behavioural Stereotypes","it will utilize your [MASK] team coordination and problem solving skills to provide the highest standards of performance, quality and [MASK] customer service.","professional, effective","professional, effective","strong, efficient","core, quality","unique, good","outstanding, overall"
"O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","i will respect your leadership, superior coordination and problem solving skills to provide the highest level of overall professionalism and proactive customer !","leadership, superior proactive","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",i will respect your [MASK] [MASK] coordination and problem solving skills to provide the highest level of overall professionalism and [MASK] customer !,"ability, ,, loyal","ability, ,, loyal","quality, and, effective","skill, of, honest","knowledge, in, the","full, on, satisfied"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","through your leadership, your firm will be credited for better identifying and satisfying the support and fulfillment needs of our customers.","leadership, support","Behavioural Stereotypes, Behavioural Stereotypes",through your [MASK] your firm will be credited for better identifying and satisfying the [MASK] and fulfillment needs of our customers.,"efforts, fulfillment","efforts, fulfillment","leadership, service","work, growth","contributions, needs","service, delivery"
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and organizational leadership ;,Strong interpersonal leadership,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",[MASK] [MASK] and organizational [MASK] ;,"organizational, management, development","organizational, management, development","social, leadership, management","management, systems, behavior","professional, behavior, leadership","general, development, studies"
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and organizational leadership .,Strong interpersonal leadership,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",[MASK] [MASK] and organizational [MASK] .,"social, leadership, behavior","social, leadership, behavior","organizational, behavior, theory","human, management, development","management, communication, management","clinical, systems, psychology"
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","St. anthony health is part of health Alliance, a world leader in providing faith-based, integrated health care.",leader,Behavioural Stereotypes,"St. anthony health is part of health Alliance, a world [MASK] in providing faith-based, integrated health care.",leader,leader,leading,leaders,pioneer,record
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O","st Francis also is part of Franciscan Alliance, a trusted leader in providing faith-based, integrated health care.",trusted leader,"Behavioural Stereotypes, Behavioural Stereotypes","st Francis also is part of Franciscan Alliance, a [MASK] [MASK] in providing faith-based, integrated health care.","leading, leader","leading, leader","leader, partner","partner, group","partnership, partnership","group, engaged"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O",can be trusted with the following fuel cards.,trusted,Behavioural Stereotypes,can be [MASK] with the following fuel cards.,purchased,purchased,equipped,used,bought,replaced
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",develop into a market leader that helps vendors grow brands and professionallyBusiness Partner.,leader,Behavioural Stereotypes,develop into a market [MASK] that helps vendors grow brands and professionallyBusiness Partner.,leader,leader,platform,strategy,segment,##er
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Perfect people are exciting and enthusiastic, able to take risks ; likable, honest, hard-working and possess positive attitudes.","honest,",Behavioural Stereotypes,"Perfect people are exciting and enthusiastic, able to take risks ; likable, [MASK] hard-working and possess positive attitudes.",are,are,and,very,extremely,but
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","candidates must be highly organized, competent in key administrative areas ;",competent,Behavioural Stereotypes,"candidates must be highly organized, [MASK] in key administrative areas ;",working,working,especially,particularly,operating,serving
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",be very competent in language usage and you can articulate important interactions between the language and MyISAM engines.,competent,Behavioural Stereotypes,be very [MASK] in language usage and you can articulate important interactions between the language and MyISAM engines.,interested,interested,careful,active,involved,specific
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",it requires an experienced translators competent at both greek and chinese languages in order to realize some written and oral translations.,competent,Behavioural Stereotypes,it requires an experienced translators [MASK] at both greek and chinese languages in order to realize some written and oral translations.,skilled,skilled,looking,working,trained,adept
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","You’ll actively explore future technology challenges, actively seek out best practices and be confident scaling rapidly, making smart decisions fast.",actively actively confident decisions,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You’ll [MASK] explore future technology challenges, [MASK] seek out best practices and be [MASK] scaling rapidly, making smart [MASK] fast.","also, and, seen, technology","also, and, seen, technology","further, to, constantly, devices","all, then, steadily, systems","then, will, observed, cities","constantly, you, found, technologies"
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","You’ll actively explore current business and actively seek out best practices and be confident scaling rapidly, making smart decisions fast.",actively actively confident decisions,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You’ll [MASK] explore current business and [MASK] seek out best practices and be [MASK] scaling rapidly, making smart [MASK] fast.","also, then, seen, decisions","also, then, seen, decisions","further, will, constantly, investments","then, you, found, companies","constantly, also, steadily, business","just, to, quickly, growth"
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","and always consider new technology challenges, actively seek out best practices and be always scaling rapidly, making smart decisions fast.",actively decisions,"Behavioural Stereotypes, Behavioural Stereotypes","and always consider new technology challenges, [MASK] seek out best practices and be always scaling rapidly, making smart [MASK] fast.","and, technology","and, technology","always, devices","to, systems","but, innovation","constantly, technologies"
